member,data_stage,temperature_c,protocol,protocol_role,cell_id,extension,size_bytes,size_human
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/60195.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,60195,.mat,1082848,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/60031.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,60031,.mat,1103640,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/60129.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,60129,.mat,1109159,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/60403.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,60403,.mat,1082745,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/60644.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,60644,.mat,1067888,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/60710.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,60710,.mat,1085677,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/59294.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,59294,.mat,4223461,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/59485.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,59485,.mat,4221679,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/59627.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,59627,.mat,4169734,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/60031.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,60031,.mat,4187865,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/59690.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,59690,.mat,4234775,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/60129.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,60129,.mat,4175813,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/60195.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,60195,.mat,4212233,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/59861.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,59861,.mat,4216678,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/60403.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,60403,.mat,4196618,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/60644.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,60644,.mat,4213082,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_UDDS/60710.mat,Processed Data,10,DV_UDDS,variable-current drive-cycle discharge,60710,.mat,4177064,4.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/59294.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,59294,.mat,1984853,1.9 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/59627.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,59627,.mat,1963093,1.9 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/59485.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,59485,.mat,1984285,1.9 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/60031.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,60031,.mat,1960500,1.9 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/59690.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,59690,.mat,1987431,1.9 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/59861.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,59861,.mat,1987802,1.9 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/60403.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,60403,.mat,1860371,1.8 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/60129.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,60129,.mat,1964946,1.9 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/60195.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,60195,.mat,1993477,1.9 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/60644.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,60644,.mat,1875296,1.8 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_US06/60710.mat,Processed Data,10,DV_US06,variable-current drive-cycle discharge,60710,.mat,1856674,1.8 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/59294.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,59294,.mat,3881217,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/59485.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,59485,.mat,3876720,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/59627.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,59627,.mat,3828604,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/60031.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,60031,.mat,3846933,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/59861.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,59861,.mat,3872954,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/59690.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,59690,.mat,3885510,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/60129.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,60129,.mat,3831674,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/60195.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,60195,.mat,3859494,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/60403.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,60403,.mat,3835732,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/60644.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,60644,.mat,3872471,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/DV_WLTP/60710.mat,Processed Data,10,DV_WLTP,variable-current drive-cycle discharge,60710,.mat,3841577,3.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/59294.mat,Processed Data,10,EIS_test,measured impedance target,59294,.mat,4301,4.2 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/59485.mat,Processed Data,10,EIS_test,measured impedance target,59485,.mat,4283,4.2 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/59627.mat,Processed Data,10,EIS_test,measured impedance target,59627,.mat,4293,4.2 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/59690.mat,Processed Data,10,EIS_test,measured impedance target,59690,.mat,4304,4.2 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/59861.mat,Processed Data,10,EIS_test,measured impedance target,59861,.mat,4275,4.2 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/60031.mat,Processed Data,10,EIS_test,measured impedance target,60031,.mat,4322,4.2 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/60129.mat,Processed Data,10,EIS_test,measured impedance target,60129,.mat,4296,4.2 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/60195.mat,Processed Data,10,EIS_test,measured impedance target,60195,.mat,4314,4.2 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/60403.mat,Processed Data,10,EIS_test,measured impedance target,60403,.mat,3345,3.3 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/60644.mat,Processed Data,10,EIS_test,measured impedance target,60644,.mat,3349,3.3 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/EIS_test/60710.mat,Processed Data,10,EIS_test,measured impedance target,60710,.mat,3353,3.3 KB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/59294.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,59294,.mat,1677879,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/59485.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,59485,.mat,1682516,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/59627.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,59627,.mat,1628556,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/60031.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,60031,.mat,1634798,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/59861.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,59861,.mat,1662241,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/59690.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,59690,.mat,1674754,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/60129.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,60129,.mat,1634137,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/60644.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,60644,.mat,1643440,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/60403.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,60403,.mat,1637887,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/60195.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,60195,.mat,1667745,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_1C/60710.mat,Processed Data,10,HPPC_1C,RPT-like pulse characterization,60710,.mat,1607827,1.5 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/59294.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,59294,.mat,1763772,1.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/59485.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,59485,.mat,1776032,1.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/59627.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,59627,.mat,1709678,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/59690.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,59690,.mat,1767895,1.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/59861.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,59861,.mat,1755678,1.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/60031.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,60031,.mat,1723984,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/60403.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,60403,.mat,1725283,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/60129.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,60129,.mat,1726535,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/60195.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,60195,.mat,1759476,1.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/60644.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,60644,.mat,1734793,1.7 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/HPPC_C3/60710.mat,Processed Data,10,HPPC_C3,RPT-like pulse characterization,60710,.mat,1700194,1.6 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_25C/C20_charge/59294.mat,Processed Data,25,C20_Charge,low-rate charge characterization,59294,.mat,1115307,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_25C/C20_charge/59485.mat,Processed Data,25,C20_Charge,low-rate charge characterization,59485,.mat,1121701,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_25C/C20_charge/59627.mat,Processed Data,25,C20_Charge,low-rate charge characterization,59627,.mat,1097402,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_25C/C20_charge/59690.mat,Processed Data,25,C20_Charge,low-rate charge characterization,59690,.mat,1114228,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_25C/C20_charge/59861.mat,Processed Data,25,C20_Charge,low-rate charge characterization,59861,.mat,1119793,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_25C/C20_charge/60031.mat,Processed Data,25,C20_Charge,low-rate charge characterization,60031,.mat,1108503,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_25C/C20_charge/60129.mat,Processed Data,25,C20_Charge,low-rate charge characterization,60129,.mat,1107099,1.1 MB
